日期,宠主ID,宠主姓名,宠物类型,服务项目,消费金额,医生,客户来源
2025-01-01,C03297,客户3297,猫,疫苗,117,李医生,老客户
2025-01-01,C03057,客户3057,其他,洗护,103,张医生,老客户
2025-01-01,C03206,客户3206,狗,疫苗,132,李医生,新客户
2025-01-01,C03058,客户3058,猫,疫苗,138,刘医生,新客户
2025-01-01,C03635,客户3635,狗,疫苗,144,王医生,新客户
2025-01-01,C02845,客户2845,猫,绝育,577,张医生,新客户
2025-01-01,C03279,客户3279,猫,疫苗,110,王医生,新客户
2025-01-02,C03678,客户3678,猫,看病,427,刘医生,新客户
2025-01-02,C02813,客户2813,狗,洗护,125,张医生,新客户
2025-01-02,C03798,客户3798,狗,疫苗,123,王医生,新客户
2025-01-02,C02829,客户2829,猫,疫苗,114,张医生,老客户
2025-01-02,C03139,客户3139,狗,疫苗,140,刘医生,新客户
2025-01-02,C02868,客户2868,其他,疫苗,102,李医生,新客户
2025-01-03,C03033,客户3033,狗,疫苗,144,王医生,新客户
2025-01-03,C02842,客户2842,狗,疫苗,147,李医生,老客户
2025-01-03,C03231,客户3231,其他,疫苗,87,刘医生,老客户
2025-01-03,C02870,客户2870,猫,看病,475,张医生,新客户
2025-01-03,C03929,客户3929,猫,绝育,525,李医生,老客户
2025-01-03,C03828,客户3828,狗,洗护,136,刘医生,老客户
2025-01-03,C03544,客户3544,狗,洗护,121,李医生,新客户
2025-01-03,C03103,客户3103,猫,疫苗,146,刘医生,老客户
2025-01-03,C03524,客户3524,狗,看病,315,李医生,新客户
2025-01-03,C02803,客户2803,猫,疫苗,141,王医生,新客户
2025-01-03,C03033,客户3033,狗,洗护,159,李医生,新客户
2025-01-03,C03943,客户3943,猫,疫苗,111,张医生,新客户
2025-01-03,C03200,客户3200,猫,疫苗,117,张医生,老客户
2025-01-03,C03349,客户3349,猫,疫苗,116,刘医生,老客户
2025-01-04,C02917,客户2917,猫,洗护,182,李医生,新客户
2025-01-04,C03663,客户3663,狗,洗护,219,王医生,新客户
2025-01-04,C03057,客户3057,狗,疫苗,121,张医生,新客户
2025-01-04,C02850,客户2850,猫,看病,748,陈医生,新客户
2025-01-04,C03982,客户3982,狗,疫苗,116,李医生,新客户
2025-01-04,C03365,客户3365,猫,疫苗,105,陈医生,老客户
2025-01-04,C03241,客户3241,猫,看病,513,王医生,老客户
2025-01-04,C03231,客户3231,猫,看病,230,李医生,老客户
2025-01-04,C03340,客户3340,猫,洗护,112,陈医生,新客户
2025-01-04,C03055,客户3055,猫,绝育,364,李医生,新客户
2025-01-04,C02755,客户2755,猫,洗护,178,刘医生,新客户
2025-01-04,C03218,客户3218,狗,体检,250,李医生,新客户
2025-01-04,C03691,客户3691,猫,疫苗,95,刘医生,新客户
2025-01-04,C03754,客户3754,猫,洗护,151,李医生,新客户
2025-01-04,C02807,客户2807,猫,疫苗,106,王医生,新客户
2025-01-04,C03149,客户3149,猫,看病,622,李医生,新客户
2025-01-04,C03723,客户3723,狗,洗护,101,张医生,新客户
2025-01-05,C03009,客户3009,其他,洗护,171,刘医生,老客户
2025-01-05,C03793,客户3793,狗,疫苗,107,李医生,新客户
2025-01-05,C03967,客户3967,狗,疫苗,125,李医生,老客户
2025-01-05,C02999,客户2999,猫,疫苗,117,陈医生,老客户
2025-01-05,C03848,客户3848,其他,看病,458,刘医生,老客户
2025-01-05,C03857,客户3857,猫,绝育,311,张医生,新客户
2025-01-05,C02916,客户2916,猫,疫苗,83,李医生,新客户
2025-01-05,C03604,客户3604,狗,疫苗,103,陈医生,新客户
2025-01-05,C03721,客户3721,猫,疫苗,134,李医生,新客户
2025-01-05,C03451,客户3451,狗,疫苗,109,李医生,新客户
2025-01-05,C03798,客户3798,狗,疫苗,150,李医生,新客户
2025-01-06,C03471,客户3471,其他,疫苗,85,王医生,新客户
2025-01-06,C03073,客户3073,猫,体检,304,李医生,新客户
2025-01-06,C02730,客户2730,狗,疫苗,98,王医生,老客户
2025-01-06,C03189,客户3189,猫,看病,264,陈医生,新客户
2025-01-06,C02917,客户2917,猫,疫苗,146,李医生,新客户
2025-01-06,C03663,客户3663,猫,疫苗,112,刘医生,新客户
2025-01-06,C03799,客户3799,猫,疫苗,150,王医生,新客户
2025-01-06,C02709,客户2709,猫,疫苗,92,张医生,新客户
2025-01-07,C03967,客户3967,狗,疫苗,107,张医生,新客户
2025-01-07,C03442,客户3442,其他,疫苗,106,刘医生,新客户
2025-01-07,C03723,客户3723,狗,疫苗,121,张医生,新客户
2025-01-07,C03665,客户3665,狗,疫苗,132,王医生,新客户
2025-01-07,C03970,客户3970,猫,体检,335,刘医生,新客户
2025-01-07,C03711,客户3711,猫,疫苗,133,王医生,老客户
2025-01-07,C03139,客户3139,狗,洗护,185,李医生,新客户
2025-01-07,C03960,客户3960,其他,看病,201,王医生,老客户
2025-01-07,C02855,客户2855,猫,疫苗,124,张医生,新客户
2025-01-07,C03226,客户3226,猫,体检,312,李医生,新客户
2025-01-07,C02948,客户2948,猫,疫苗,104,张医生,新客户
